ModbusRTU;Meter;EASTRON;X96-5E;1;;;;;;
87;4;30361;F32;;L2 total kWh;;1.0;0.0;kWh;4
88;4;30363;F32;;L3 total kwh;;1.0;0.0;kWh;4
89;4;30365;F32;;L1 import kvarh;;1.0;0.0;kVArh;4
90;4;30367;F32;;L2 import kvarh;;1.0;0.0;kVArh;4
91;4;30369;F32;;L3 import kvarh;;1.0;0.0;kVArh;4
92;4;30371;F32;;L1 export kvarh;;1.0;0.0;kVArh;4
93;4;30373;F32;;L2 export kvarh;;1.0;0.0;kVArh;4
94;4;30375;F32;;L3 export kvarh;;1.0;0.0;kVArh;4
95;4;30377;F32;;L1 total kvarh;;1.0;0.0;kVArh;4
96;4;30379;F32;;L2 total kvarh;;1.0;0.0;kVArh;4
97;4;30381;F32;;L3 total kvarh;;1.0;0.0;kVArh;4
98;4;31147;F32;;Voltage Total Harmonic L1;;1.0;0.0;Percent;4
99;4;31149;F32;;Voltage Total Harmonic L2;;1.0;0.0;Percent;4
100;4;31151;F32;;Voltage Total Harmonic L3;;1.0;0.0;Percent;4
101;4;31153;F32;;Current Total Harmonic L1;;1.0;0.0;Percent;4
102;4;31155;F32;;Current Total Harmonic L2;;1.0;0.0;Percent;4
103;4;31157;F32;;Current Total Harmonic L3;;1.0;0.0;Percent;4
104;3;40001;F32;;Demand Time;;1.0;0.0;;4
105;3;40003;F32;;Demand Period;;1.0;0.0;;4
106;3;40005;F32;;Slide time;;1.0;0.0;;4
107;3;40007;F32;;Demand Calculation Method;;1.0;0.0;;4
108;3;40011;F32;;System Type;;1.0;0.0;;4
109;3;40013;F32;;Pulse 1 Width;;1.0;0.0;;4
110;3;40015;F32;;Key Parameter Programming Authorization (KPPA);;1.0;0.0;;4
111;3;40019;F32;;Parity and Stop bits;;1.0;0.0;;4
112;3;40021;F32;;Modbus Address;;1.0;0.0;;4
113;3;40023;F32;;Pulse 1 Rate;;1.0;0.0;;4
114;3;40025;F32;;Password;;1.0;0.0;;4
115;3;40029;F32;;Network Baud Rate;;1.0;0.0;;4
116;3;40047;F32;;PT1;;1.0;0.0;;4
117;3;40049;F32;;PT2;;1.0;0.0;;4
118;3;40051;F32;;CT1;;1.0;0.0;;4
119;3;40053;F32;;CT2;;1.0;0.0;;4
120;3;40057;F32;;Current Direction correction (when the external CT is connected reversely);;1.0;0.0;;4
121;3;40059;F32;;Automatic Scroll Display Time;;1.0;0.0;;4
122;3;40061;F32;;Backlit time;;1.0;0.0;;4
123;3;40087;F32;;Pulse 1 Energy;;1.0;0.0;;4
124;3;461457;F32;;Reset;;1.0;0.0;;4
125;3;461667;F32;;Meter Info;;1.0;0.0;;4
