modbusRTU;Inverter;SofarSolar;HYDG3;1;;;;;;
89;3;1804;U16;;Current_Group3_Branch2;;0.010000;0.000000;A;4
90;3;1805;U16;;Voltage_Group4;;0.100000;0.000000;V;4
91;3;1806;U16;;Current_Group4_Branch1;;0.010000;0.000000;A;4
92;3;1807;U16;;Current_Group4_Branch2;;0.010000;0.000000;A;4
93;3;1808;U16;;Voltage_Group5;;0.100000;0.000000;V;4
94;3;1809;U16;;Current_Group5_Branch1;;0.010000;0.000000;A;4
95;3;1810;U16;;Current_Group5_Branch2;;0.010000;0.000000;A;4
96;3;1811;U16;;Voltage_Group6;;0.100000;0.000000;V;4
97;3;1812;U16;;Current_Group6_Branch1;;0.010000;0.000000;A;4
98;3;1813;U16;;Current_Group6_Branch2;;0.010000;0.000000;A;4
99;3;1814;U16;;Voltage_Group7;;0.100000;0.000000;V;4
100;3;1815;U16;;Current_Group7_Branch1;;0.010000;0.000000;A;4
101;3;1816;U16;;Current_Group7_Branch2;;0.010000;0.000000;A;4
102;3;1817;U16;;Voltage_Group8;;0.100000;0.000000;V;4
103;3;1818;U16;;Current_Group8_Branch1;;0.010000;0.000000;A;4
104;3;1819;U16;;Current_Group8_Branch2;;0.010000;0.000000;A;4
105;3;1820;U16;;Voltage_Group9;;0.100000;0.000000;V;4
106;3;1821;U16;;Current_Group9_Branch1;;0.010000;0.000000;A;4
107;3;1822;U16;;Current_Group9_Branch2;;0.010000;0.000000;A;4
108;3;1823;U16;;Voltage_Group10;;0.100000;0.000000;V;4
109;3;1824;U16;;Current_Group10_Branch1;;0.010000;0.000000;A;4
110;3;1825;U16;;Current_Group10_Branch2;;0.010000;0.000000;A;4
111;3;1826;U16;;Voltage_Group11;;0.100000;0.000000;V;4
112;3;1827;U16;;Current_Group11_Branch1;;0.010000;0.000000;A;4
113;3;1828;U16;;Current_Group11_Branch2;;0.010000;0.000000;A;4
114;3;1829;U16;;Voltage_Group12;;0.100000;0.000000;V;4
115;3;1830;U16;;Current_Group12_Branch1;;0.010000;0.000000;A;4
116;3;1831;U16;;Current_Group12_Branch2;;0.010000;0.000000;A;4
117;3;1832;U16;;Voltage_Group13;;0.100000;0.000000;V;4
118;3;1833;U16;;Current_Group13_Branch1;;0.010000;0.000000;A;4
119;3;1834;U16;;Current_Group13_Branch2;;0.010000;0.000000;A;4
120;3;1835;U16;;Voltage_Group14;;0.100000;0.000000;V;4
121;3;1836;U16;;Current_Group14_Branch1;;0.010000;0.000000;A;4
122;3;1837;U16;;Current_Group14_Branch2;;0.010000;0.000000;A;4
123;3;1838;U16;;Voltage_Group15;;0.100000;0.000000;V;4
124;3;1839;U16;;Current_Group15_Branch1;;0.010000;0.000000;A;4
125;3;1840;U16;;Current_Group15_Branch2;;0.010000;0.000000;A;4
126;3;1841;U16;;Voltage_Group16;;0.100000;0.000000;V;4
127;3;1842;U16;;Current_Group16_Branch1;;0.010000;0.000000;A;4
128;3;1843;U16;;Current_Group16_Branch2;;0.010000;0.000000;A;4
129;3;2305;U16;;ActiveOutputLimit;cmdPwrPercent;0.100000;0.000000;%;4
130;3;4357;U16;;PowerControl;;0.100000;0.000000;%;4
131;3;4358;U16;;Active_Power_Export_Limit;;0.100000;0.000000;%;4
