modbusTCP;inverter;SMA;STP 110-60;;;;;;;0
414;3;40534;U16;130_Tms_SF;130_0_Tms2;;1;0;Secs;0
415;3;40535;U16;130_V_SF;130_0_V2;;1;0;% VRef;0
416;3;40536;U16;130_Tms_SF;130_0_Tms3;;1;0;Secs;0
417;3;40537;U16;130_V_SF;130_0_V3;;1;0;% VRef;0
418;3;40538;U16;130_Tms_SF;130_0_Tms4;;1;0;Secs;0
419;3;40539;U16;130_V_SF;130_0_V4;;1;0;% VRef;0
420;3;40540;U16;130_Tms_SF;130_0_Tms5;;1;0;Secs;0
421;3;40541;U16;130_V_SF;130_0_V5;;1;0;% VRef;0
422;3;40542;U16;130_Tms_SF;130_0_Tms6;;1;0;Secs;0
423;3;40543;U16;130_V_SF;130_0_V6;;1;0;% VRef;0
424;3;40544;U16;130_Tms_SF;130_0_Tms7;;1;0;Secs;0
425;3;40545;U16;130_V_SF;130_0_V7;;1;0;% VRef;0
426;3;40546;U16;130_Tms_SF;130_0_Tms8;;1;0;Secs;0
427;3;40547;U16;130_V_SF;130_0_V8;;1;0;% VRef;0
428;3;40548;U16;130_Tms_SF;130_0_Tms9;;1;0;Secs;0
429;3;40549;U16;130_V_SF;130_0_V9;;1;0;% VRef;0
430;3;40550;U16;130_Tms_SF;130_0_Tms10;;1;0;Secs;0
431;3;40551;U16;130_V_SF;130_0_V10;;1;0;% VRef;0
432;3;40552;U16;130_Tms_SF;130_0_Tms11;;1;0;Secs;0
433;3;40553;U16;130_V_SF;130_0_V11;;1;0;% VRef;0
434;3;40554;U16;130_Tms_SF;130_0_Tms12;;1;0;Secs;0
435;3;40555;U16;130_V_SF;130_0_V12;;1;0;% VRef;0
436;3;40556;U16;130_Tms_SF;130_0_Tms13;;1;0;Secs;0
437;3;40557;U16;130_V_SF;130_0_V13;;1;0;% VRef;0
438;3;40558;U16;130_Tms_SF;130_0_Tms14;;1;0;Secs;0
439;3;40559;U16;130_V_SF;130_0_V14;;1;0;% VRef;0
440;3;40560;U16;130_Tms_SF;130_0_Tms15;;1;0;Secs;0
441;3;40561;U16;130_V_SF;130_0_V15;;1;0;% VRef;0
442;3;40562;U16;130_Tms_SF;130_0_Tms16;;1;0;Secs;0
443;3;40563;U16;130_V_SF;130_0_V16;;1;0;% VRef;0
444;3;40564;U16;130_Tms_SF;130_0_Tms17;;1;0;Secs;0
445;3;40565;U16;130_V_SF;130_0_V17;;1;0;% VRef;0
446;3;40566;U16;130_Tms_SF;130_0_Tms18;;1;0;Secs;0
447;3;40567;U16;130_V_SF;130_0_V18;;1;0;% VRef;0
448;3;40568;U16;130_Tms_SF;130_0_Tms19;;1;0;Secs;0
449;3;40569;U16;130_V_SF;130_0_V19;;1;0;% VRef;0
450;3;40570;U16;130_Tms_SF;130_0_Tms20;;1;0;Secs;0
451;3;40571;U16;130_V_SF;130_0_V20;;1;0;% VRef;0
452;3;40572;STRING;;130_0_CrvNam;;1;0;;0
453;3;40580;U16;;130_0_ReadOnly;;1;0;;0
454;3;40581;I16;;131_tableId;;1;0;;0
455;3;40582;I16;;131_tableSize;;1;0;;0
456;3;40583;U16;;131_ActCrv;;1;0;;0
457;3;40584;U16;;131_ModEna;;1;0;;0
458;3;40585;U16;;131_WinTms;;1;0;Secs;0
459;3;40586;U16;;131_RvrtTms;;1;0;Secs;0
460;3;40587;U16;;131_RmpTms;;1;0;Secs;0
461;3;40588;U16;;131_NCrv;;1;0;;0
462;3;40589;U16;;131_NPt;;1;0;;0
463;3;40590;I16;;131_W_SF;;1;0;;0
464;3;40591;I16;;131_PF_SF;;1;0;;0
465;3;40592;I16;;131_RmpIncDec_SF;;1;0;;0
466;3;40593;U16;;131_0_ActPt;;1;0;;0
467;3;40594;I16;131_W_SF;131_0_W1;;1;0;% WMax;0
468;3;40595;I16;131_PF_SF;131_0_PF1;;1;0;cos();0
469;3;40596;I16;131_W_SF;131_0_W2;;1;0;% WMax;0
470;3;40597;I16;131_PF_SF;131_0_PF2;;1;0;cos();0
471;3;40598;I16;131_W_SF;131_0_W3;;1;0;% WMax;0
472;3;40599;I16;131_PF_SF;131_0_PF3;;1;0;cos();0
473;3;40600;I16;131_W_SF;131_0_W4;;1;0;% WMax;0
474;3;40601;I16;131_PF_SF;131_0_PF4;;1;0;cos();0
475;3;40602;I16;131_W_SF;131_0_W5;;1;0;% WMax;0
476;3;40603;I16;131_PF_SF;131_0_PF5;;1;0;cos();0
477;3;40604;I16;131_W_SF;131_0_W6;;1;0;% WMax;0
478;3;40605;I16;131_PF_SF;131_0_PF6;;1;0;cos();0
479;3;40606;I16;131_W_SF;131_0_W7;;1;0;% WMax;0
480;3;40607;I16;131_PF_SF;131_0_PF7;;1;0;cos();0
481;3;40608;I16;131_W_SF;131_0_W8;;1;0;% WMax;0
482;3;40609;I16;131_PF_SF;131_0_PF8;;1;0;cos();0
483;3;40610;I16;131_W_SF;131_0_W9;;1;0;% WMax;0
484;3;40611;I16;131_PF_SF;131_0_PF9;;1;0;cos();0
485;3;40612;I16;131_W_SF;131_0_W10;;1;0;% WMax;0
486;3;40613;I16;131_PF_SF;131_0_PF10;;1;0;cos();0
487;3;40614;I16;131_W_SF;131_0_W11;;1;0;% WMax;0
488;3;40615;I16;131_PF_SF;131_0_PF11;;1;0;cos();0
489;3;40616;I16;131_W_SF;131_0_W12;;1;0;% WMax;0
490;3;40617;I16;131_PF_SF;131_0_PF12;;1;0;cos();0
491;3;40618;I16;131_W_SF;131_0_W13;;1;0;% WMax;0
492;3;40619;I16;131_PF_SF;131_0_PF13;;1;0;cos();0
493;3;40620;I16;131_W_SF;131_0_W14;;1;0;% WMax;0
494;3;40621;I16;131_PF_SF;131_0_PF14;;1;0;cos();0
495;3;40622;I16;131_W_SF;131_0_W15;;1;0;% WMax;0
496;3;40623;I16;131_PF_SF;131_0_PF15;;1;0;cos();0
497;3;40624;I16;131_W_SF;131_0_W16;;1;0;% WMax;0
498;3;40625;I16;131_PF_SF;131_0_PF16;;1;0;cos();0
499;3;40626;I16;131_W_SF;131_0_W17;;1;0;% WMax;0
500;3;40627;I16;131_PF_SF;131_0_PF17;;1;0;cos();0
501;3;40628;I16;131_W_SF;131_0_W18;;1;0;% WMax;0
502;3;40629;I16;131_PF_SF;131_0_PF18;;1;0;cos();0
503;3;40630;I16;131_W_SF;131_0_W19;;1;0;% WMax;0
504;3;40631;I16;131_PF_SF;131_0_PF19;;1;0;cos();0
505;3;40632;I16;131_W_SF;131_0_W20;;1;0;% WMax;0
506;3;40633;I16;131_PF_SF;131_0_PF20;;1;0;cos();0
507;3;40634;STRING;;131_0_CrvNam;;1;0;;0
508;3;40642;U16;;131_0_RmpPT1Tms;;1;0;Secs;0
509;3;40643;U16;131_RmpIncDec_SF;131_0_RmpDecTmm;;1;0;% PF/min;0
510;3;40644;U16;131_RmpIncDec_SF;131_0_RmpIncTmm;;1;0;% PF/min;0
511;3;40645;U16;;131_0_ReadOnly;;1;0;;0
513;3;40647;U16;;131_1_ActPt;;1;0;;0
514;3;40648;I16;131_W_SF;131_1_W1;;1;0;% WMax;0
515;3;40649;I16;131_PF_SF;131_1_PF1;;1;0;cos();0
516;3;40650;I16;131_W_SF;131_1_W2;;1;0;% WMax;0
517;3;40651;I16;131_PF_SF;131_1_PF2;;1;0;cos();0
518;3;40652;I16;131_W_SF;131_1_W3;;1;0;% WMax;0
519;3;40653;I16;131_PF_SF;131_1_PF3;;1;0;cos();0
520;3;40654;I16;131_W_SF;131_1_W4;;1;0;% WMax;0
521;3;40655;I16;131_PF_SF;131_1_PF4;;1;0;cos();0
522;3;40656;I16;131_W_SF;131_1_W5;;1;0;% WMax;0
523;3;40657;I16;131_PF_SF;131_1_PF5;;1;0;cos();0
524;3;40658;I16;131_W_SF;131_1_W6;;1;0;% WMax;0
525;3;40659;I16;131_PF_SF;131_1_PF6;;1;0;cos();0
526;3;40660;I16;131_W_SF;131_1_W7;;1;0;% WMax;0
527;3;40661;I16;131_PF_SF;131_1_PF7;;1;0;cos();0
528;3;40662;I16;131_W_SF;131_1_W8;;1;0;% WMax;0
529;3;40663;I16;131_PF_SF;131_1_PF8;;1;0;cos();0
530;3;40664;I16;131_W_SF;131_1_W9;;1;0;% WMax;0
531;3;40665;I16;131_PF_SF;131_1_PF9;;1;0;cos();0
532;3;40666;I16;131_W_SF;131_1_W10;;1;0;% WMax;0
533;3;40667;I16;131_PF_SF;131_1_PF10;;1;0;cos();0
534;3;40668;I16;131_W_SF;131_1_W11;;1;0;% WMax;0
535;3;40669;I16;131_PF_SF;131_1_PF11;;1;0;cos();0
536;3;40670;I16;131_W_SF;131_1_W12;;1;0;% WMax;0
537;3;40671;I16;131_PF_SF;131_1_PF12;;1;0;cos();0
538;3;40672;I16;131_W_SF;131_1_W13;;1;0;% WMax;0
539;3;40673;I16;131_PF_SF;131_1_PF13;;1;0;cos();0
540;3;40674;I16;131_W_SF;131_1_W14;;1;0;% WMax;0
541;3;40675;I16;131_PF_SF;131_1_PF14;;1;0;cos();0
542;3;40676;I16;131_W_SF;131_1_W15;;1;0;% WMax;0
543;3;40677;I16;131_PF_SF;131_1_PF15;;1;0;cos();0
544;3;40678;I16;131_W_SF;131_1_W16;;1;0;% WMax;0
545;3;40679;I16;131_PF_SF;131_1_PF16;;1;0;cos();0
546;3;40680;I16;131_W_SF;131_1_W17;;1;0;% WMax;0
547;3;40681;I16;131_PF_SF;131_1_PF17;;1;0;cos();0
548;3;40682;I16;131_W_SF;131_1_W18;;1;0;% WMax;0
549;3;40683;I16;131_PF_SF;131_1_PF18;;1;0;cos();0
550;3;40684;I16;131_W_SF;131_1_W19;;1;0;% WMax;0
551;3;40685;I16;131_PF_SF;131_1_PF19;;1;0;cos();0
552;3;40686;I16;131_W_SF;131_1_W20;;1;0;% WMax;0
553;3;40687;I16;131_PF_SF;131_1_PF20;;1;0;cos();0
554;3;40688;STRING;;131_1_CrvNam;;1;0;;0
555;3;40696;U16;;131_1_RmpPT1Tms;;1;0;Secs;0
556;3;40697;U16;131_RmpIncDec_SF;131_1_RmpDecTmm;;1;0;% PF/min;0
557;3;40698;U16;131_RmpIncDec_SF;131_1_RmpIncTmm;;1;0;% PF/min;0
558;3;40699;U16;;131_1_ReadOnly;;1;0;;0
560;3;40701;U16;;131_2_ActPt;;1;0;;0
561;3;40702;I16;131_W_SF;131_2_W1;;1;0;% WMax;0
562;3;40703;I16;131_PF_SF;131_2_PF1;;1;0;cos();0
563;3;40704;I16;131_W_SF;131_2_W2;;1;0;% WMax;0
564;3;40705;I16;131_PF_SF;131_2_PF2;;1;0;cos();0
565;3;40706;I16;131_W_SF;131_2_W3;;1;0;% WMax;0
566;3;40707;I16;131_PF_SF;131_2_PF3;;1;0;cos();0
567;3;40708;I16;131_W_SF;131_2_W4;;1;0;% WMax;0
568;3;40709;I16;131_PF_SF;131_2_PF4;;1;0;cos();0
569;3;40710;I16;131_W_SF;131_2_W5;;1;0;% WMax;0
570;3;40711;I16;131_PF_SF;131_2_PF5;;1;0;cos();0
571;3;40712;I16;131_W_SF;131_2_W6;;1;0;% WMax;0
572;3;40713;I16;131_PF_SF;131_2_PF6;;1;0;cos();0
573;3;40714;I16;131_W_SF;131_2_W7;;1;0;% WMax;0
574;3;40715;I16;131_PF_SF;131_2_PF7;;1;0;cos();0
575;3;40716;I16;131_W_SF;131_2_W8;;1;0;% WMax;0
576;3;40717;I16;131_PF_SF;131_2_PF8;;1;0;cos();0
577;3;40718;I16;131_W_SF;131_2_W9;;1;0;% WMax;0
578;3;40719;I16;131_PF_SF;131_2_PF9;;1;0;cos();0
579;3;40720;I16;131_W_SF;131_2_W10;;1;0;% WMax;0
580;3;40721;I16;131_PF_SF;131_2_PF10;;1;0;cos();0
581;3;40722;I16;131_W_SF;131_2_W11;;1;0;% WMax;0
582;3;40723;I16;131_PF_SF;131_2_PF11;;1;0;cos();0
583;3;40724;I16;131_W_SF;131_2_W12;;1;0;% WMax;0
584;3;40725;I16;131_PF_SF;131_2_PF12;;1;0;cos();0
585;3;40726;I16;131_W_SF;131_2_W13;;1;0;% WMax;0
586;3;40727;I16;131_PF_SF;131_2_PF13;;1;0;cos();0
587;3;40728;I16;131_W_SF;131_2_W14;;1;0;% WMax;0
588;3;40729;I16;131_PF_SF;131_2_PF14;;1;0;cos();0
589;3;40730;I16;131_W_SF;131_2_W15;;1;0;% WMax;0
590;3;40731;I16;131_PF_SF;131_2_PF15;;1;0;cos();0
591;3;40732;I16;131_W_SF;131_2_W16;;1;0;% WMax;0
592;3;40733;I16;131_PF_SF;131_2_PF16;;1;0;cos();0
593;3;40734;I16;131_W_SF;131_2_W17;;1;0;% WMax;0
594;3;40735;I16;131_PF_SF;131_2_PF17;;1;0;cos();0
595;3;40736;I16;131_W_SF;131_2_W18;;1;0;% WMax;0
596;3;40737;I16;131_PF_SF;131_2_PF18;;1;0;cos();0
597;3;40738;I16;131_W_SF;131_2_W19;;1;0;% WMax;0
598;3;40739;I16;131_PF_SF;131_2_PF19;;1;0;cos();0
599;3;40740;I16;131_W_SF;131_2_W20;;1;0;% WMax;0
600;3;40741;I16;131_PF_SF;131_2_PF20;;1;0;cos();0
601;3;40742;STRING;;131_2_CrvNam;;1;0;;0
602;3;40750;U16;;131_2_RmpPT1Tms;;1;0;Secs;0
603;3;40751;U16;131_RmpIncDec_SF;131_2_RmpDecTmm;;1;0;% PF/min;0
604;3;40752;U16;131_RmpIncDec_SF;131_2_RmpIncTmm;;1;0;% PF/min;0
605;3;40753;U16;;131_2_ReadOnly;;1;0;;0
607;3;40755;I16;;132_tableId;;1;0;;0
608;3;40756;I16;;132_tableSize;;1;0;;0
609;3;40757;U16;;132_ActCrv;;1;0;;0
610;3;40758;U16;;132_ModEna;;1;0;;0
611;3;40759;U16;;132_WinTms;;1;0;Secs;0
612;3;40760;U16;;132_RvrtTms;;1;0;Secs;0
613;3;40761;U16;;132_RmpTms;;1;0;Secs;0
614;3;40762;U16;;132_NCrv;;1;0;;0
615;3;40763;U16;;132_NPt;;1;0;;0
616;3;40764;I16;;132_V_SF;;1;0;;0
617;3;40765;I16;;132_DeptRef_SF;;1;0;;0
618;3;40766;I16;;132_RmpIncDec_SF;;1;0;;0
619;3;40767;U16;;132_0_ActPt;;1;0;;0
620;3;40768;U16;;132_0_DeptRef;;1;0;;0
621;3;40769;U16;132_V_SF;132_0_V1;;1;0;% VRef;0
622;3;40770;I16;132_DeptRef_SF;132_0_W1;;1;0;% VRef;0
623;3;40771;U16;132_V_SF;132_0_V2;;1;0;% VRef;0
624;3;40772;I16;132_DeptRef_SF;132_0_W2;;1;0;% VRef;0
625;3;40773;U16;132_V_SF;132_0_V3;;1;0;% VRef;0
626;3;40774;I16;132_DeptRef_SF;132_0_W3;;1;0;% VRef;0
627;3;40775;U16;132_V_SF;132_0_V4;;1;0;% VRef;0
628;3;40776;I16;132_DeptRef_SF;132_0_W4;;1;0;% VRef;0
629;3;40777;U16;132_V_SF;132_0_V5;;1;0;% VRef;0
630;3;40778;I16;132_DeptRef_SF;132_0_W5;;1;0;% VRef;0
631;3;40779;U16;132_V_SF;132_0_V6;;1;0;% VRef;0
632;3;40780;I16;132_DeptRef_SF;132_0_W6;;1;0;% VRef;0
633;3;40781;U16;132_V_SF;132_0_V7;;1;0;% VRef;0
634;3;40782;I16;132_DeptRef_SF;132_0_W7;;1;0;% VRef;0
635;3;40783;U16;132_V_SF;132_0_V8;;1;0;% VRef;0
636;3;40784;I16;132_DeptRef_SF;132_0_W8;;1;0;% VRef;0
637;3;40785;U16;132_V_SF;132_0_V9;;1;0;% VRef;0
638;3;40786;I16;132_DeptRef_SF;132_0_W9;;1;0;% VRef;0
639;3;40787;U16;132_V_SF;132_0_V10;;1;0;% VRef;0
640;3;40788;I16;132_DeptRef_SF;132_0_W10;;1;0;% VRef;0
641;3;40789;U16;132_V_SF;132_0_V11;;1;0;% VRef;0
642;3;40790;I16;132_DeptRef_SF;132_0_W11;;1;0;% VRef;0
643;3;40791;U16;132_V_SF;132_0_V12;;1;0;% VRef;0
644;3;40792;I16;132_DeptRef_SF;132_0_W12;;1;0;% VRef;0
645;3;40793;U16;132_V_SF;132_0_V13;;1;0;% VRef;0
646;3;40794;I16;132_DeptRef_SF;132_0_W13;;1;0;% VRef;0
647;3;40795;U16;132_V_SF;132_0_V14;;1;0;% VRef;0
648;3;40796;I16;132_DeptRef_SF;132_0_W14;;1;0;% VRef;0
649;3;40797;U16;132_V_SF;132_0_V15;;1;0;% VRef;0
650;3;40798;I16;132_DeptRef_SF;132_0_W15;;1;0;% VRef;0
651;3;40799;U16;132_V_SF;132_0_V16;;1;0;% VRef;0
652;3;40800;I16;132_DeptRef_SF;132_0_W16;;1;0;% VRef;0
653;3;40801;U16;132_V_SF;132_0_V17;;1;0;% VRef;0
654;3;40802;I16;132_DeptRef_SF;132_0_W17;;1;0;% VRef;0
655;3;40803;U16;132_V_SF;132_0_V18;;1;0;% VRef;0
656;3;40804;I16;132_DeptRef_SF;132_0_W18;;1;0;% VRef;0
657;3;40805;U16;132_V_SF;132_0_V19;;1;0;% VRef;0
658;3;40806;I16;132_DeptRef_SF;132_0_W19;;1;0;% VRef;0
659;3;40807;U16;132_V_SF;132_0_V20;;1;0;% VRef;0
660;3;40808;I16;132_DeptRef_SF;132_0_W20;;1;0;% VRef;0
661;3;40809;STRING;;132_0_CrvNam;;1;0;;0
662;3;40817;U16;;132_0_RmpPt1Tms;;1;0;Secs;0
663;3;40818;U16;132_RmpIncDec_SF;132_0_RmpDecTmm;;1;0;% WMax/min;0
664;3;40819;U16;132_RmpIncDec_SF;132_0_RmpIncTmm;;1;0;% WMax/min;0
665;3;40820;U16;;132_0_ReadOnly;;1;0;;0
666;3;40821;I16;;134_tableId;;1;0;;0
667;3;40822;I16;;134_tableSize;;1;0;;0
668;3;40823;U16;;134_ActCrv;;1;0;;0
669;3;40824;U16;;134_ModEna;;1;0;;0
670;3;40825;U16;;134_WinTms;;1;0;Secs;0
671;3;40826;U16;;134_RvrtTms;;1;0;Secs;0
672;3;40827;U16;;134_RmpTms;;1;0;Secs;0
673;3;40828;U16;;134_NCrv;;1;0;;0
674;3;40829;U16;;134_NPt;;1;0;;0
675;3;40830;I16;;134_Hz_SF;;1;0;SF;0
676;3;40831;I16;;134_W_SF;;1;0;SF;0
677;3;40832;I16;;134_RmpIncDec_SF;;1;0;SF;0
678;3;40833;U16;;134_0_ActPt;;1;0;;0
679;3;40834;U16;134_Hz_SF;134_0_Hz1;;1;0;Hz;0
680;3;40835;I16;134_W_SF;134_0_W1;;1;0;% WRef;0
681;3;40836;U16;134_Hz_SF;134_0_Hz2;;1;0;Hz;0
682;3;40837;I16;134_W_SF;134_0_W2;;1;0;% WRef;0
683;3;40838;U16;134_Hz_SF;134_0_Hz3;;1;0;Hz;0
684;3;40839;I16;134_W_SF;134_0_W3;;1;0;% WRef;0
685;3;40840;U16;134_Hz_SF;134_0_Hz4;;1;0;Hz;0
686;3;40841;I16;134_W_SF;134_0_W4;;1;0;% WRef;0
687;3;40842;U16;134_Hz_SF;134_0_Hz5;;1;0;Hz;0
688;3;40843;I16;134_W_SF;134_0_W5;;1;0;% WRef;0
689;3;40844;U16;134_Hz_SF;134_0_Hz6;;1;0;Hz;0
690;3;40845;I16;134_W_SF;134_0_W6;;1;0;% WRef;0
691;3;40846;U16;134_Hz_SF;134_0_Hz7;;1;0;Hz;0
692;3;40847;I16;134_W_SF;134_0_W7;;1;0;% WRef;0
693;3;40848;U16;134_Hz_SF;134_0_Hz8;;1;0;Hz;0
694;3;40849;I16;134_W_SF;134_0_W8;;1;0;% WRef;0
695;3;40850;U16;134_Hz_SF;134_0_Hz9;;1;0;Hz;0
696;3;40851;I16;134_W_SF;134_0_W9;;1;0;% WRef;0
697;3;40852;U16;134_Hz_SF;134_0_Hz10;;1;0;Hz;0
698;3;40853;I16;134_W_SF;134_0_W10;;1;0;% WRef;0
699;3;40854;U16;134_Hz_SF;134_0_Hz11;;1;0;Hz;0
700;3;40855;I16;134_W_SF;134_0_W11;;1;0;% WRef;0
701;3;40856;U16;134_Hz_SF;134_0_Hz12;;1;0;Hz;0
702;3;40857;I16;134_W_SF;134_0_W12;;1;0;% WRef;0
703;3;40858;U16;134_Hz_SF;134_0_Hz13;;1;0;Hz;0
704;3;40859;I16;134_W_SF;134_0_W13;;1;0;% WRef;0
705;3;40860;U16;134_Hz_SF;134_0_Hz14;;1;0;Hz;0
706;3;40861;I16;134_W_SF;134_0_W14;;1;0;% WRef;0
707;3;40862;U16;134_Hz_SF;134_0_Hz15;;1;0;Hz;0
708;3;40863;I16;134_W_SF;134_0_W15;;1;0;% WRef;0
709;3;40864;U16;134_Hz_SF;134_0_Hz16;;1;0;Hz;0
710;3;40865;I16;134_W_SF;134_0_W16;;1;0;% WRef;0
711;3;40866;U16;134_Hz_SF;134_0_Hz17;;1;0;Hz;0
712;3;40867;I16;134_W_SF;134_0_W17;;1;0;% WRef;0
713;3;40868;U16;134_Hz_SF;134_0_Hz18;;1;0;Hz;0
714;3;40869;I16;134_W_SF;134_0_W18;;1;0;% WRef;0
715;3;40870;U16;134_Hz_SF;134_0_Hz19;;1;0;Hz;0
716;3;40871;I16;134_W_SF;134_0_W19;;1;0;% WRef;0
717;3;40872;U16;134_Hz_SF;134_0_Hz20;;1;0;Hz;0
718;3;40873;I16;134_W_SF;134_0_W20;;1;0;% WRef;0
719;3;40874;STRING;;134_0_CrvNam;;1;0;;0
720;3;40882;U16;;134_0_RmpPT1Tms;;1;0;Secs;0
721;3;40883;U16;134_RmpIncDec_SF;134_0_RmpDecTmm;;1;0;% WMax/min;0
722;3;40884;U16;134_RmpIncDec_SF;134_0_RmpIncTmm;;1;0;% WMax/min;0
723;3;40885;U16;134_RmpIncDec_SF;134_0_RmpRsUp;;1;0;% WMax/min;0
724;3;40886;U16;;134_0_SnptW;;1;0;;0
725;3;40887;U16;134_W_SF;134_0_WRef;;1;0;W;0
726;3;40888;U16;134_Hz_SF;134_0_WRefStrHz;;1;0;Hz;0
727;3;40889;U16;134_Hz_SF;134_0_WRefStopHz;;1;0;Hz;0
728;3;40890;U16;;134_0_ReadOnly;;1;0;;0
729;3;40891;U16;;134_1_ActPt;;1;0;;0
730;3;40892;U16;134_Hz_SF;134_1_Hz1;;1;0;Hz;0
731;3;40893;I16;134_W_SF;134_1_W1;;1;0;% WRef;0
732;3;40894;U16;134_Hz_SF;134_1_Hz2;;1;0;Hz;0
733;3;40895;I16;134_W_SF;134_1_W2;;1;0;% WRef;0
734;3;40896;U16;134_Hz_SF;134_1_Hz3;;1;0;Hz;0
735;3;40897;I16;134_W_SF;134_1_W3;;1;0;% WRef;0
736;3;40898;U16;134_Hz_SF;134_1_Hz4;;1;0;Hz;0
737;3;40899;I16;134_W_SF;134_1_W4;;1;0;% WRef;0
738;3;40900;U16;134_Hz_SF;134_1_Hz5;;1;0;Hz;0
739;3;40901;I16;134_W_SF;134_1_W5;;1;0;% WRef;0
740;3;40902;U16;134_Hz_SF;134_1_Hz6;;1;0;Hz;0
741;3;40903;I16;134_W_SF;134_1_W6;;1;0;% WRef;0
742;3;40904;U16;134_Hz_SF;134_1_Hz7;;1;0;Hz;0
743;3;40905;I16;134_W_SF;134_1_W7;;1;0;% WRef;0
744;3;40906;U16;134_Hz_SF;134_1_Hz8;;1;0;Hz;0
745;3;40907;I16;134_W_SF;134_1_W8;;1;0;% WRef;0
746;3;40908;U16;134_Hz_SF;134_1_Hz9;;1;0;Hz;0
747;3;40909;I16;134_W_SF;134_1_W9;;1;0;% WRef;0
748;3;40910;U16;134_Hz_SF;134_1_Hz10;;1;0;Hz;0
749;3;40911;I16;134_W_SF;134_1_W10;;1;0;% WRef;0
750;3;40912;U16;134_Hz_SF;134_1_Hz11;;1;0;Hz;0
751;3;40913;I16;134_W_SF;134_1_W11;;1;0;% WRef;0
752;3;40914;U16;134_Hz_SF;134_1_Hz12;;1;0;Hz;0
753;3;40915;I16;134_W_SF;134_1_W12;;1;0;% WRef;0
754;3;40916;U16;134_Hz_SF;134_1_Hz13;;1;0;Hz;0
755;3;40917;I16;134_W_SF;134_1_W13;;1;0;% WRef;0
756;3;40918;U16;134_Hz_SF;134_1_Hz14;;1;0;Hz;0
757;3;40919;I16;134_W_SF;134_1_W14;;1;0;% WRef;0
758;3;40920;U16;134_Hz_SF;134_1_Hz15;;1;0;Hz;0
759;3;40921;I16;134_W_SF;134_1_W15;;1;0;% WRef;0
760;3;40922;U16;134_Hz_SF;134_1_Hz16;;1;0;Hz;0
761;3;40923;I16;134_W_SF;134_1_W16;;1;0;% WRef;0
762;3;40924;U16;134_Hz_SF;134_1_Hz17;;1;0;Hz;0
763;3;40925;I16;134_W_SF;134_1_W17;;1;0;% WRef;0
764;3;40926;U16;134_Hz_SF;134_1_Hz18;;1;0;Hz;0
765;3;40927;I16;134_W_SF;134_1_W18;;1;0;% WRef;0
766;3;40928;U16;134_Hz_SF;134_1_Hz19;;1;0;Hz;0
767;3;40929;I16;134_W_SF;134_1_W19;;1;0;% WRef;0
768;3;40930;U16;134_Hz_SF;134_1_Hz20;;1;0;Hz;0
769;3;40931;I16;134_W_SF;134_1_W20;;1;0;% WRef;0
770;3;40932;STRING;;134_1_CrvNam;;1;0;;0
771;3;40940;U16;;134_1_RmpPT1Tms;;1;0;Secs;0
772;3;40941;U16;134_RmpIncDec_SF;134_1_RmpDecTmm;;1;0;% WMax/min;0
773;3;40942;U16;134_RmpIncDec_SF;134_1_RmpIncTmm;;1;0;% WMax/min;0
774;3;40943;U16;134_RmpIncDec_SF;134_1_RmpRsUp;;1;0;% WMax/min;0
775;3;40944;U16;;134_1_SnptW;;1;0;;0
776;3;40945;U16;134_W_SF;134_1_WRef;;1;0;W;0
777;3;40946;U16;134_Hz_SF;134_1_WRefStrHz;;1;0;Hz;0
778;3;40947;U16;134_Hz_SF;134_1_WRefStopHz;;1;0;Hz;0
779;3;40948;U16;;134_1_ReadOnly;;1;0;;0
780;3;40949;U16;;134_2_ActPt;;1;0;;0
781;3;40950;U16;134_Hz_SF;134_2_Hz1;;1;0;Hz;0
782;3;40951;I16;134_W_SF;134_2_W1;;1;0;% WRef;0
783;3;40952;U16;134_Hz_SF;134_2_Hz2;;1;0;Hz;0
784;3;40953;I16;134_W_SF;134_2_W2;;1;0;% WRef;0
785;3;40954;U16;134_Hz_SF;134_2_Hz3;;1;0;Hz;0
786;3;40955;I16;134_W_SF;134_2_W3;;1;0;% WRef;0
787;3;40956;U16;134_Hz_SF;134_2_Hz4;;1;0;Hz;0
788;3;40957;I16;134_W_SF;134_2_W4;;1;0;% WRef;0
789;3;40958;U16;134_Hz_SF;134_2_Hz5;;1;0;Hz;0
790;3;40959;I16;134_W_SF;134_2_W5;;1;0;% WRef;0
791;3;40960;U16;134_Hz_SF;134_2_Hz6;;1;0;Hz;0
792;3;40961;I16;134_W_SF;134_2_W6;;1;0;% WRef;0
793;3;40962;U16;134_Hz_SF;134_2_Hz7;;1;0;Hz;0
794;3;40963;I16;134_W_SF;134_2_W7;;1;0;% WRef;0
795;3;40964;U16;134_Hz_SF;134_2_Hz8;;1;0;Hz;0
796;3;40965;I16;134_W_SF;134_2_W8;;1;0;% WRef;0
797;3;40966;U16;134_Hz_SF;134_2_Hz9;;1;0;Hz;0
798;3;40967;I16;134_W_SF;134_2_W9;;1;0;% WRef;0
799;3;40968;U16;134_Hz_SF;134_2_Hz10;;1;0;Hz;0
800;3;40969;I16;134_W_SF;134_2_W10;;1;0;% WRef;0
801;3;40970;U16;134_Hz_SF;134_2_Hz11;;1;0;Hz;0
802;3;40971;I16;134_W_SF;134_2_W11;;1;0;% WRef;0
