ModbusSlave;;;
80;;93_2;;INV2;Current inverter_entry 9;;1.000000;0.000000;;4
81;;94_2;;INV2;Volt inverter_entry 10;;1.000000;0.000000;;4
82;;95_2;;INV2;Current inverter_entry 10;;1.000000;0.000000;;4
83;;96_2;;weather_station;Irradiance;;1.000000;0.000000;;4
84;;97_2;;weather_station;Temperature Compensated Irradiance;;1.000000;0.000000;;4
85;;98_2;;weather_station;Internal temperature;;1.000000;0.000000;;4
86;;99_2;;weather_station;Module temperature;;1.000000;0.000000;;4
87;;100_2;;weather_station;Ambient temperature;;1.000000;0.000000;;4
88;;101_2;;weather_station;Ambient temperature (SHT);;1.000000;0.000000;;4
89;;102_2;;weather_station;Relative humidity (SHT);;1.000000;0.000000;;4
90;;103_2;;weather_station;Wind Direction;;1.000000;0.000000;;4
91;;104_2;;weather_station;Wind Speed;;1.000000;0.000000;;4
92;;110_2;;ActivePowerRegulation;meterValueKW;;1.000000;0.000000;;4
93;;111_1;;ActivePowerRegulation;Alarm;;1.000000;0.000000;;4
94;;112_4;;ActivePowerRegulation;TotInvPower;;1.000000;0.000000;;4
95;;114_4;;ActivePowerRegulation;Watchdog;;1.000000;0.000000;;4
