ModbusRTU;Inverter;EFACEC;PV550;;;;;;;
101;4;40159;U16;;lecturaSalidasDSP;;1.0;0.0;Debugger only;4
102;4;40160;U16;;lecturaEntradasDSP;;1.0;0.0;Debugger only;4
103;4;40162;U16;;estadoControlReactiva;;1.0;0.0;Debugger only;4
104;4;40163;U16;;modoControlReactiva;;1.0;0.0;Debugger only;4
105;4;40170;U32;;flagErr1;;1.0;0.0;See Errors table;4
106;4;40172;U32;;flagErr2;;1.0;0.0;See Errors table;4
107;4;40178;U32;;flagAlrm1;;1.0;0.0;See Alarms table;4
108;4;40180;U32;;flagAlrm2;;1.0;0.0;Not Used;4
109;4;40186;I16;;Frec;;100.0;0.0;;4
110;4;40187;I16;;rendimiento;;1000.0;0.0;;4
111;4;40188;I16;;temperatura;;100.0;0.0;[100*temp] Celsius;4
112;4;40189;I16;;overloadR;;100.0;0.0;%;4
113;4;40190;I16;;overloadS;;100.0;0.0;%;4
114;4;40191;I16;;overloadT;;100.0;0.0;100*Value %;4
115;4;40192;U32;;timeToRearme;;1.0;0.0;Seconds;4
116;4;40194;I16;;medAux1;;1.0;0.0;;4
117;4;40195;I16;;medAux2;;1.0;0.0;;4
118;4;40196;I16;;refReactivaLeida;;10.0;0.0;;4
119;4;40257;U16;;IdModbus;;1.0;0.0;;4
120;4;40258;U16;;protocolMB;;1.0;0.0;0 RTU,(1) TCP;4
121;4;40259;U16;;comandoMB;;1.0;0.0;See Modbus Commands table;4
122;4;40260;U32;;baudMb;;1.0;0.0;9600, 19200,38400 bds;4
123;4;40262;U16;;bitsDatosMb;;1.0;0.0;7, 8 bits;4
124;4;40263;U16;;paridadMb;;1.0;0.0;[0 (None), 1 (odd), 2 (even) ];4
125;4;40264;U16;;bitsStopMb;;1.0;0.0;[1, 2];4
126;4;40265;U16;;IP_a;;1.0;0.0;0, 255;4
127;4;40266;U16;;IP_b;;1.0;0.0;0, 255;4
128;4;40267;U16;;IP_c;;1.0;0.0;0, 255;4
129;4;40268;U16;;IP_d;;1.0;0.0;0, 255;4
130;4;40269;U16;;GW_a;;1.0;0.0;0, 255;4
131;4;40270;U16;;GW_b;;1.0;0.0;0, 255;4
132;4;40271;U16;;GW_c;;1.0;0.0;0, 255;4
133;4;40272;U16;;GW_d;;1.0;0.0;0, 255;4
134;4;40273;U16;;NM_a;;1.0;0.0;0, 255;4
135;4;40274;U16;;NM_b;;1.0;0.0;0, 255;4
136;4;40275;U16;;NM_c;;1.0;0.0;0, 255;4
137;4;40276;U16;;NM_d;;1.0;0.0;0, 255;4
138;4;40277;U16;;portMb;;1.0;0.0;;4
139;4;40513;U16;;CurtspMW;cmdPwrPercent;1.0;0.0;0-100% = %Pnom;4
140;4;40514;U16;;Curtailment;WMaxLim_Ena;1.0;0.0;0-1 DISABLE / ENABLE;4
141;4;40515;U16;;SolarRaise;;1.0;0.0;0-1000 = 6*Pref/Pnom;4
142;4;40516;U16;;SolarLower;;1.0;0.0;0-1000 = 6*Pref/Pnom;4
143;4;40517;U16;;Qnight_command;;1.0;0.0;0-1 DISABLE / ENABLE;4
144;4;40518;I16;;Qnight_ref;;1.0;0.0;[-1000,1000]  Snom *Qref/ 1000;4
145;4;40519;I16;;Pref_NTU;;1.0;0.0;;4
