ModbusRTU;Inverter;EFACEC;PV250HE_PV375HE_PV500HE;;;;;;;
1;;40087;F32;;Input voltage;;1;0;V;4
2;;40089;F32;;Input current;;1;0;A;4
3;;40091;F32;;Input Power;;1;0;kW;4
4;;40093;F32;;Output Voltage (Vrs);;1;0;V;4
5;;40095;F32;;Output Voltage (Vst);;1;0;V;4
6;;40097;F32;;Output Voltage (Vtr);;1;0;V;4
7;;40099;F32;;Output Current (Ir);;1;0;A;4
8;;40101;F32;;Output Current (Is);;1;0;A;4
9;;40103;F32;;Output Current (It);;1;0;A;4
10;;40105;F32;;Ouput Power;;1;0;kW;4
11;;40107;F32;;Power Factor;;1;0;;4
12;;40109;F32;;Temperature;;1;0;C;4
13;;40111;F32;;Frequency;;1;0;Hz;4
14;;40113;U16;;Alrm_Vgrid;;1;0;;4
15;;40114;U16;;Alrm_Freq;;1;0;;4
16;;40115;U16;;Alrm_Fus;;1;0;;4
17;;40116;U16;;Alrm_Fearth;;1;0;;4
18;;40117;U16;;Alrm_Prot_Int;;1;0;;4
19;;40118;U16;;Alrm_OverTemp;;1;0;;4
20;;40119;U16;;PreAlrm_OverTemp;;1;0;;4
21;;40120;U16;;Alrm_Fans;;1;0;;4
22;;40121;F32;;CounterP;;1;0;kWh;4
23;;40123;F32;;CounterQ;;1;0;kVAh;4
24;;40125;I16;;CosPhi;;1;0;;4
25;;40126;U16;;Failure;;1;0;;4
26;;40127;U32;;FlagErr1;;1;0;;4
27;;40129;U32;;FlagErr2;;1;0;;4
28;;40131;U16;;Command;;1;0;;4
29;;40132;U16;;MasterSlave;;1;0;;4
