ModbusTCP;Meter;ECO ADAPT;POWERELEC 6;;;;;;;
96;3;208;I32;;Power reactive_1_0;;1.0;0.0;;4
97;3;210;I32;;Power reactive_1_1;;1.0;0.0;;4
98;3;212;I32;;Power reactive_1_2;;1.0;0.0;;4
99;3;214;I32;;Power reactive_2_3;;1.0;0.0;;4
100;3;216;I32;;Power reactive_2_4;;1.0;0.0;;4
101;3;218;I32;;Power reactive_2_5;;1.0;0.0;;4
102;3;220;I32;;Power reactive_3_6;;1.0;0.0;;4
103;3;222;I32;;Power reactive_3_7;;1.0;0.0;;4
104;3;224;I32;;Power reactive_3_8;;1.0;0.0;;4
105;3;226;I32;;Power reactive_4_9;;1.0;0.0;;4
106;3;228;I32;;Power reactive_4_10;;1.0;0.0;;4
107;3;230;I32;;Power reactive_4_11;;1.0;0.0;;4
108;3;232;I32;;Power reactive_5_12;;1.0;0.0;;4
109;3;234;I32;;Power reactive_5_13;;1.0;0.0;;4
110;3;236;I32;;Power reactive_5_14;;1.0;0.0;;4
111;3;238;I32;;Power reactive_6_15;;1.0;0.0;;4
112;3;240;I32;;Power reactive_6_16;;1.0;0.0;;4
113;3;242;I32;;Power reactive_6_17;;1.0;0.0;;4
114;3;244;I32;;Power factor_1_0;;1.0;0.0;;4
115;3;246;I32;;Power factor_1_1;;1.0;0.0;;4
116;3;248;I32;;Power factor_1_2;;1.0;0.0;;4
117;3;250;I32;;Power factor_2_3;;1.0;0.0;;4
118;3;252;I32;;Power factor_2_4;;1.0;0.0;;4
119;3;254;I32;;Power factor_2_5;;1.0;0.0;;4
120;3;256;I32;;Power factor_3_6;;1.0;0.0;;4
121;3;258;I32;;Power factor_3_7;;1.0;0.0;;4
122;3;260;I32;;Power factor_3_8;;1.0;0.0;;4
123;3;262;I32;;Power factor_4_9;;1.0;0.0;;4
124;3;264;I32;;Power factor_4_10;;1.0;0.0;;4
125;3;266;I32;;Power factor_4_11;;1.0;0.0;;4
126;3;268;I32;;Power factor_5_12;;1.0;0.0;;4
127;3;270;I32;;Power factor_5_13;;1.0;0.0;;4
128;3;272;I32;;Power factor_5_14;;1.0;0.0;;4
129;3;274;I32;;Power factor_6_15;;1.0;0.0;;4
130;3;276;I32;;Power factor_6_16;;1.0;0.0;;4
131;3;278;I32;;Power factor_6_17;;1.0;0.0;;4
132;3;280;U32;;RMS current_1_0;;1.0;0.0;;4
133;3;282;U32;;RMS current_1_1;;1.0;0.0;;4
134;3;284;U32;;RMS current_1_2;;1.0;0.0;;4
135;3;286;U32;;RMS current_2_3;;1.0;0.0;;4
136;3;288;U32;;RMS current_2_4;;1.0;0.0;;4
137;3;290;U32;;RMS current_2_5;;1.0;0.0;;4
138;3;292;U32;;RMS current_3_6;;1.0;0.0;;4
139;3;294;U32;;RMS current_3_7;;1.0;0.0;;4
140;3;296;U32;;RMS current_3_8;;1.0;0.0;;4
141;3;298;U32;;RMS current_4_9;;1.0;0.0;;4
142;3;300;U32;;RMS current_4_10;;1.0;0.0;;4
143;3;302;U32;;RMS current_4_11;;1.0;0.0;;4
144;3;304;U32;;RMS current_5_12;;1.0;0.0;;4
145;3;306;U32;;RMS current_5_13;;1.0;0.0;;4
146;3;308;U32;;RMS current_5_14;;1.0;0.0;;4
147;3;310;U32;;RMS current_6_15;;1.0;0.0;;4
148;3;312;U32;;RMS current_6_16;;1.0;0.0;;4
149;3;314;U32;;RMS current_6_17;;1.0;0.0;;4
150;3;316;U32;;RMS current average_1_0;;1.0;0.0;;4
151;3;318;U32;;RMS current average_1_1;;1.0;0.0;;4
152;3;320;U32;;RMS current average_1_2;;1.0;0.0;;4
153;3;322;U32;;RMS current average_2_3;;1.0;0.0;;4
154;3;324;U32;;RMS current average_2_4;;1.0;0.0;;4
155;3;326;U32;;RMS current average_2_5;;1.0;0.0;;4
156;3;328;U32;;RMS current average_3_6;;1.0;0.0;;4
157;3;330;U32;;RMS current average_3_7;;1.0;0.0;;4
158;3;332;U32;;RMS current average_3_8;;1.0;0.0;;4
159;3;334;U32;;RMS current average_4_9;;1.0;0.0;;4
160;3;336;U32;;RMS current average_4_10;;1.0;0.0;;4
161;3;338;U32;;RMS current average_4_11;;1.0;0.0;;4
162;3;340;U32;;RMS current average_5_12;;1.0;0.0;;4
163;3;342;U32;;RMS current average_5_13;;1.0;0.0;;4
164;3;344;U32;;RMS current average_5_14;;1.0;0.0;;4
165;3;346;U32;;RMS current average_6_15;;1.0;0.0;;4
166;3;348;U32;;RMS current average_6_16;;1.0;0.0;;4
167;3;350;U32;;RMS current average_6_17;;1.0;0.0;;4
168;3;352;U32;;RMS voltage_1_0;;1.0;0.0;;4
169;3;354;U32;;RMS voltage_1_1;;1.0;0.0;;4
170;3;356;U32;;RMS voltage_1_2;;1.0;0.0;;4
171;3;358;U32;;RMS voltage_2_3;;1.0;0.0;;4
172;3;360;U32;;RMS voltage_2_4;;1.0;0.0;;4
173;3;362;U32;;RMS voltage_2_5;;1.0;0.0;;4
174;3;364;U32;;RMS voltage_3_6;;1.0;0.0;;4
175;3;366;U32;;RMS voltage_3_7;;1.0;0.0;;4
176;3;368;U32;;RMS voltage_3_8;;1.0;0.0;;4
177;3;370;U32;;RMS voltage_4_9;;1.0;0.0;;4
178;3;372;U32;;RMS voltage_4_10;;1.0;0.0;;4
179;3;374;U32;;RMS voltage_4_11;;1.0;0.0;;4
180;3;376;U32;;RMS voltage_5_12;;1.0;0.0;;4
181;3;378;U32;;RMS voltage_5_13;;1.0;0.0;;4
182;3;380;U32;;RMS voltage_5_14;;1.0;0.0;;4
183;3;382;U32;;RMS voltage_6_15;;1.0;0.0;;4
184;3;384;U32;;RMS voltage_6_16;;1.0;0.0;;4
185;3;386;U32;;RMS voltage_6_17;;1.0;0.0;;4
186;3;388;U32;;RMS voltage average_1_0;;1.0;0.0;;4
187;3;390;U32;;RMS voltage average_1_1;;1.0;0.0;;4
188;3;392;U32;;RMS voltage average_1_2;;1.0;0.0;;4
189;3;394;U32;;RMS voltage average_2_3;;1.0;0.0;;4
190;3;396;U32;;RMS voltage average_2_4;;1.0;0.0;;4
191;3;398;U32;;RMS voltage average_2_5;;1.0;0.0;;4
192;3;400;U32;;RMS voltage average_3_6;;1.0;0.0;;4
193;3;402;U32;;RMS voltage average_3_7;;1.0;0.0;;4
194;3;404;U32;;RMS voltage average_3_8;;1.0;0.0;;4
195;3;406;U32;;RMS voltage average_4_9;;1.0;0.0;;4
196;3;408;U32;;RMS voltage average_4_10;;1.0;0.0;;4
197;3;410;U32;;RMS voltage average_4_11;;1.0;0.0;;4
198;3;412;U32;;RMS voltage average_5_12;;1.0;0.0;;4
199;3;414;U32;;RMS voltage average_5_13;;1.0;0.0;;4
200;3;416;U32;;RMS voltage average_5_14;;1.0;0.0;;4
201;3;418;U32;;RMS voltage average_6_15;;1.0;0.0;;4
202;3;420;U32;;RMS voltage average_6_16;;1.0;0.0;;4
203;3;422;U32;;RMS voltage average_6_17;;1.0;0.0;;4
204;3;424;U32;;Frequency Line_1_0;;1.0;0.0;;4
205;3;426;U32;;Frequency Line_1_1;;1.0;0.0;;4
206;3;428;U32;;Frequency Line_1_2;;1.0;0.0;;4
207;3;430;U32;;Frequency Line_2_3;;1.0;0.0;;4
208;3;432;U32;;Frequency Line_2_4;;1.0;0.0;;4
209;3;434;U32;;Frequency Line_2_5;;1.0;0.0;;4
210;3;436;U32;;Frequency Line_3_6;;1.0;0.0;;4
211;3;438;U32;;Frequency Line_3_7;;1.0;0.0;;4
212;3;440;U32;;Frequency Line_3_8;;1.0;0.0;;4
213;3;442;U32;;Frequency Line_4_9;;1.0;0.0;;4
214;3;444;U32;;Frequency Line_4_10;;1.0;0.0;;4
215;3;446;U32;;Frequency Line_4_11;;1.0;0.0;;4
216;3;448;U32;;Frequency Line_5_12;;1.0;0.0;;4
217;3;450;U32;;Frequency Line_5_13;;1.0;0.0;;4
218;3;452;U32;;Frequency Line_5_14;;1.0;0.0;;4
219;3;454;U32;;Frequency Line_6_15;;1.0;0.0;;4
220;3;456;U32;;Frequency Line_6_16;;1.0;0.0;;4
221;3;458;U32;;Frequency Line_6_17;;1.0;0.0;;4
